rho,lambda,dual_theta_mse,dual_z_mse,dual_joint_mse,single_theta_mse,single_z_mse,single_joint_mse,best_tau,gap
0.0100000000,1.0000000000,0.0776541040,0.2412695930,0.3189236970,0.0776541040,0.2412695930,0.3189236970,0.0100000000,0.0000000000
0.0114441930,1.1444192980,0.1101279776,0.2954539555,0.4055819331,0.1098933304,0.2937012403,0.4035945707,0.0100000000,-0.0019873624
0.0130969553,1.3096955296,0.0965072672,0.2888072017,0.3853144689,0.0928086398,0.2876133733,0.3804220131,0.0130969553,-0.0048924558
0.0149884084,1.4988408385,0.1005429560,0.4198448856,0.5203878416,0.1022324811,0.4225101215,0.5247426025,0.0145811914,0.0043547610
0.0171530238,1.7153023802,0.1362869640,0.3556619104,0.4919488744,0.1332081116,0.3527592891,0.4859674007,0.0126276414,-0.0059814736
0.0196302515,1.9630251458,0.1466494521,0.4626474075,0.6092968596,0.1481501604,0.4645130538,0.6126632142,0.0121618932,0.0033663547
0.0224652386,2.2465238592,0.1122559051,0.3930020401,0.5052579453,0.1125986055,0.4067452715,0.5193438769,0.0122895336,0.0140859317
0.0257096526,2.5709652578,0.0833894396,0.5311607187,0.6145501583,0.1138749773,0.5474154860,0.6612904633,0.0257096526,0.0467403050
0.0294226226,2.9422622555,0.1050628655,0.4662074476,0.5712703131,0.1366861136,0.4994668175,0.6361529311,0.0226841617,0.0648826180
0.0336718170,3.3671817049,0.0408680893,0.3371896496,0.3780577389,0.0593162552,0.3492098832,0.4085261385,0.0148309831,0.0304683995
0.0385346772,3.8534677229,0.1153504826,0.4910820126,0.6064324952,0.1237599852,0.5118608597,0.6356208449,0.0198997860,0.0291883497
0.0440998283,4.4099828262,0.0987016811,0.5372173871,0.6359190682,0.1272098022,0.5884351814,0.7156449836,0.0183509783,0.0797259154
0.0504686945,5.0468694500,0.1501840323,0.6476520280,0.7978360603,0.2037643861,0.7008208388,0.9045852249,0.0347767517,0.1067491646
0.0577573479,5.7757347930,0.1684278257,0.6480159899,0.8164438155,0.2080053819,0.6924411800,0.9004465619,0.0402138324,0.0840027464
0.0660986236,6.6098623571,0.1067513365,0.5910207761,0.6977721125,0.1347594379,0.6276581592,0.7624175970,0.0283179179,0.0646454845
0.0756445404,7.5644540384,0.1096391306,0.6442024657,0.7538415963,0.1881510103,0.7112960037,0.8994470140,0.0461714814,0.1456054177
0.0865690718,8.6569071802,0.1298627959,0.6415458366,0.7714086326,0.1964973341,0.7234725966,0.9199699307,0.0521911212,0.1485612981
0.0990713164,9.9071316378,0.1156476588,0.5974983545,0.7131460133,0.1576435675,0.6491551969,0.8067987645,0.0427200754,0.0936527512
0.1133791263,11.3379126338,0.1144964319,0.7094419027,0.8239383346,0.1880219820,0.7635807977,0.9516027797,0.0521955618,0.1276644451
0.1297532602,12.9753260169,0.1367535352,0.7373390423,0.8740925775,0.2006807140,0.7971721096,0.9978528236,0.0539909935,0.1237602461
0.1484921349,14.8492134913,0.0808163210,0.7360989584,0.8169152794,0.1662432373,0.8219177495,0.9881609868,0.0580482917,0.1712457074
0.1699372648,16.9937264792,0.0990275016,0.7443772639,0.8434047655,0.1982256340,0.8771991900,1.0754248239,0.0524323356,0.2320200584
0.1944794853,19.4479485273,0.1120930771,0.7746283786,0.8867214557,0.2239502630,0.8880611150,1.1120113780,0.0702381993,0.2252899223
0.2225660760,22.2566076006,0.1253497695,0.7543548810,0.8797046505,0.2386488529,0.8562271558,1.0948760087,0.0663950814,0.2151713583
0.2547089125,25.4708912456,0.1240503519,0.8004089883,0.9244593402,0.2459788595,0.9120809995,1.1580598589,0.0899049510,0.2336005187
0.2914937948,29.1493794781,0.1018024341,0.7901887755,0.8919912096,0.1856992364,0.9180395835,1.1037388200,0.0731924845,0.2117476103
0.3335911240,33.3591123987,0.1063210475,0.8267183375,0.9330393851,0.2057428393,0.9532592586,1.1590020979,0.0826429054,0.2259627128
0.3817681199,38.1768119924,0.0904071938,0.7866936926,0.8771008864,0.1870812348,0.9421306572,1.1292118919,0.0706968359,0.2521110055
0.4369028038,43.6902803793,0.0919058458,0.7974995795,0.8894054253,0.2216510513,0.9623486821,1.1839997334,0.1058353233,0.2945943082
0.5000000000,50.0000000000,0.0834804350,0.8256282057,0.9091086407,0.2085094729,0.9883200669,1.1968295398,0.0900000000,0.2877208991
