rho,lambda,dual_theta_mse,dual_z_mse,dual_joint_mse,single_theta_mse,single_z_mse,single_joint_mse,best_tau,gap
0.0100000000,1.0000000000,0.5096499563,0.5089516785,1.0186016349,0.5096499563,0.5089516785,1.0186016349,0.0100000000,0.0000000000
0.0114441930,1.1444192980,0.4925278217,0.4926973409,0.9852251626,0.4941136364,0.4943213744,0.9884350108,0.0114441930,0.0032098482
0.0130969553,1.3096955296,0.3560978687,0.3550291433,0.7111270119,0.3544671465,0.3543550134,0.7088221599,0.0130969553,-0.0023048521
0.0149884084,1.4988408385,0.4703279118,0.4785991889,0.9489271007,0.5169830757,0.5253056327,1.0422887084,0.0119342808,0.0933616078
0.0171530238,1.7153023802,0.6593003286,0.6551522456,1.3144525742,0.5302022940,0.5261344895,1.0563367835,0.0116057809,-0.2581157907
0.0196302515,1.9630251458,0.4837796340,0.4978263100,0.9816059440,0.5222957077,0.5342889403,1.0565846480,0.0113757502,0.0749787040
0.0224652386,2.2465238592,0.4532613737,0.4523866883,0.9056480620,0.5532683143,0.5530748696,1.1063431839,0.0217020607,0.2006951219
0.0257096526,2.5709652578,0.3249878732,0.3298866755,0.6548745487,0.4519281564,0.4558740196,0.9078021760,0.0192975495,0.2529276272
0.0294226226,2.9422622555,0.3214363287,0.3294888450,0.6509251737,0.4682490720,0.4740378382,0.9422869102,0.0151529407,0.2913617365
0.0336718170,3.3671817049,0.1722484144,0.1799496817,0.3521980961,0.4869932778,0.4938382878,0.9808315656,0.0114492949,0.6286334695
0.0385346772,3.8534677229,0.2573495208,0.2691530817,0.5265026025,0.4381417158,0.4453408531,0.8834825689,0.0309642527,0.3569799663
0.0440998283,4.4099828262,0.1220561385,0.1395805930,0.2616367315,0.5167388416,0.5307305451,1.0474693868,0.0253101270,0.7858326553
0.0504686945,5.0468694500,0.1706506437,0.1936620037,0.3643126474,0.5295969853,0.5420642781,1.0716612634,0.0298214014,0.7073486159
0.0577573479,5.7757347930,0.4245062219,0.4440298682,0.8685360902,0.5515254028,0.5670103531,1.1185357559,0.0294927951,0.2499996657
0.0660986236,6.6098623571,0.3046394693,0.3203308843,0.6249703536,0.5863624708,0.5979117590,1.1842742298,0.0615191441,0.5593038762
0.0756445404,7.5644540384,0.1949719864,0.2175353647,0.4125073510,0.5070099156,0.5191860470,1.0261959626,0.0314349520,0.6136886116
0.0865690718,8.6569071802,0.1397807173,0.1494846558,0.2892653732,0.4605284180,0.4700982623,0.9306266802,0.0459405847,0.6413613071
0.0990713164,9.9071316378,0.1314324823,0.1571804991,0.2886129814,0.4628919517,0.4778702339,0.9407621857,0.0590801131,0.6521492042
0.1133791263,11.3379126338,0.1735219288,0.2131878031,0.3867097319,0.4850950548,0.5074378131,0.9925328679,0.0690737865,0.6058231360
0.1297532602,12.9753260169,0.1696689815,0.2072766754,0.3769456569,0.4977449864,0.5226099051,1.0203548915,0.0857622666,0.6434092346
0.1484921349,14.8492134913,0.1948071502,0.2255059553,0.4203131055,0.4876491248,0.5110448941,0.9986940189,0.0806592525,0.5783809133
0.1699372648,16.9937264792,0.1113514183,0.1498187430,0.2611701614,0.5230546789,0.5384480879,1.0615027668,0.0981286969,0.8003326054
0.1944794853,19.4479485273,0.1194688010,0.1569097601,0.2763785611,0.5287891356,0.5423246628,1.0711137984,0.1530657233,0.7947352373
0.2225660760,22.2566076006,0.0700257767,0.1148239646,0.1848497413,0.5281634161,0.5498851746,1.0780485906,0.0967616637,0.8931988493
0.2547089125,25.4708912456,0.0943761399,0.1518856402,0.2462617801,0.5030462317,0.5317835764,1.0348298081,0.1498336643,0.7885680280
0.2914937948,29.1493794781,0.1046332680,0.1629707302,0.2676039981,0.4973815382,0.5312980949,1.0286796331,0.1363849691,0.7610756350
0.3335911240,33.3591123987,0.0922231472,0.1457414815,0.2379646288,0.4993445418,0.5297328154,1.0290773572,0.1684936117,0.7911127284
0.3817681199,38.1768119924,0.0580980624,0.1148359710,0.1729340334,0.4997437123,0.5227207075,1.0224644198,0.2527873436,0.8495303864
0.4369028038,43.6902803793,0.0544530999,0.1098329743,0.1642860741,0.4922544765,0.5135826144,1.0058370909,0.3062182720,0.8415510168
0.5000000000,50.0000000000,0.0490229097,0.1177729435,0.1667958532,0.5034822548,0.5324956645,1.0359779192,0.3200000000,0.8691820660
